,height,width,sxx,sxy,syy,sdrop,mud,dc,label
23,0.063954,1.628434,-63.995947,14.501826,-55.697083,0.234016,0.410673,0.400108,0.0
24,0.038052,1.417375,-30.744321,10.886326,-25.437363,0.416402,0.200485,0.362766,0.0
25,0.135488,1.755182,-114.584123,56.672556,-95.761108,0.568376,0.22504,0.471864,0.0
26,0.019284,1.082354,-42.283315,31.44168,-52.841391,0.579757,0.214562,0.434825,0.0
27,0.055518,1.205482,-65.389401,19.153232,-53.601306,0.334471,0.340696,0.415653,0.0
28,0.02854,1.672503,-18.552846,7.446171999999998,-18.961409,0.361915,0.321054,0.393095,0.0
29,0.018568,1.089327,-102.186914,35.384059,-101.064276,0.316517,0.279418,0.397105,1.0
30,0.066693,1.0807270000000002,-156.945235,46.543567,-154.978937,0.265576,0.473124,0.328346,1.0
31,0.000557,1.875062,-89.044138,25.969674,-92.513194,0.257438,0.356087,0.452399,1.0
32,0.005661,1.57857,-57.811438,29.846397,-55.587918,0.530858,0.228267,0.402806,0.0
33,0.179204,1.924995,-78.994112,48.205843,-77.792648,0.591257,0.201784,0.316239,0.0
34,0.161423,1.939618,-28.059155,14.761932,-35.530461,0.38245,0.222899,0.435824,0.0
35,0.036982,1.866832,-66.261964,27.029364,-59.344859,0.406038,0.36979,0.414237,1.0
36,0.114086,1.333233,-38.924518,17.496578,-41.445851,0.406876,0.295704,0.371027,0.0
37,0.084535,1.753879,-60.090486,26.724,-56.251426,0.433205,0.279218,0.481303,0.0
38,0.022778,1.313935,-98.23685,44.393654,-83.975684,0.493107,0.27593,0.362358,1.0
39,0.105921,1.740738,-17.356452,11.46061,-18.854782,0.586745,0.202778,0.324265,0.0
40,0.00946,1.0600520000000002,-65.987333,27.399015,-62.85568,0.409656,0.262313,0.386879,0.0
41,0.020411,1.228211,-33.612888,10.662342,-27.953275,0.365689,0.248629,0.419988,0.0
42,0.035602,1.135306,-188.341759,61.757529,-156.574148,0.358559,0.341528,0.396786,1.0
43,0.133108,1.478902,-62.121585,27.175956,-82.50685699999998,0.285742,0.29134,0.378999,1.0
44,0.068802,1.754505,-86.753239,23.61489,-82.39547899999998,0.255148,0.524737,0.356956,1.0
45,0.10442100000000001,1.223843,-142.287984,54.767115,-118.390954,0.41499,0.335277,0.409407,1.0
46,0.014496,1.60306,-73.710659,47.985958,-92.673448,0.496249,0.303061,0.418573,0.0
47,0.049642,1.523046,-41.946874,29.908942,-54.518513,0.543824,0.232981,0.350324,0.0
48,0.053515,1.060397,-94.963091,32.138066,-81.459378,0.375788,0.355556,0.393999,0.0
49,0.005108,1.290202,-40.422563,18.415473,-35.87324,0.501547,0.20679,0.399458,0.0
50,0.151728,1.618179,-59.508145,34.512902,-59.960521,0.549406,0.235489,0.307944,0.0
51,0.094933,1.71623,-72.462395,20.352474,-58.204041,0.323974,0.351874,0.476334,0.0
52,0.152321,1.746961,-17.369275,9.115734,-14.770254,0.595616,0.20422,0.292267,0.0
53,0.029026,1.631427,-94.588342,23.307494,-85.431717,0.222115,0.38237,0.484006,1.0
54,0.08152199999999998,1.541044,-120.502588,66.941068,-158.671896,0.412294,0.225287,0.394368,0.0
55,0.119878,1.666479,-44.077359,14.454793,-57.705452,0.214415,0.260809,0.423456,0.0
56,0.095093,1.276414,-101.305242,34.186192,-132.191081,0.225509,0.470832,0.403903,1.0
57,0.12581,1.635855,-105.504789,26.396575,-110.407364,0.205547,0.325591,0.289783,1.0
58,0.192568,1.946219,-144.354366,67.728993,-116.116265,0.560069,0.230936,0.422955,0.0
59,0.016372,1.227659,-77.046644,49.015768,-94.563025,0.484841,0.276115,0.440292,1.0
60,0.019166,1.241825,-13.09746,6.571078,-11.181285,0.577756,0.215533,0.401045,0.0
61,0.123963,1.321892,-132.072251,49.438713,-128.098814,0.380086,0.203227,0.432223,0.0
62,0.013994,1.583546,-156.723099,33.458698,-141.605761,0.214772,0.429198,0.416752,1.0
63,0.065555,1.288759,-178.527207,57.670626,-148.175194,0.350006,0.360772,0.34194,1.0
64,0.052351,1.544556,-69.562902,27.408155,-81.687691,0.277884,0.503592,0.424034,1.0
65,0.132672,1.82701,-32.919779,14.462245,-29.072514,0.486063,0.312529,0.496436,0.0
66,0.092525,1.923537,-140.747169,97.02400600000003,-157.438135,0.595652,0.202128,0.491479,0.0
67,0.07443099999999998,1.384114,-59.435671,17.353321,-63.327814,0.257685,0.403305,0.406759,0.0
68,0.064522,1.306083,-30.423966,19.3266,-40.365071,0.447278,0.210557,0.495002,0.0
69,0.067286,1.502971,-86.629621,26.781114,-77.385551,0.33757,0.366967,0.401055,0.0
70,0.153796,1.852242,-17.533165,5.41484,-15.641221,0.305797,0.290452,0.384303,0.0
71,0.013619,1.684272,-162.682498,48.211956,-143.000246,0.327144,0.243517,0.412356,0.0
72,0.030506,1.34567,-44.083484,27.887595,-48.158046,0.5569,0.233786,0.335737,0.0
73,0.13034,1.616952,-45.50572,19.672557,-42.946242,0.429782,0.357865,0.456582,0.0
74,0.028969,1.2126,-88.081698,31.49447,-107.352309,0.249185,0.381969,0.43535,1.0
75,0.002952,2.015785,-54.396368,32.287397,-72.019457,0.415975,0.285606,0.428923,1.0
76,0.021288,1.461044,-141.974295,39.335139,-115.484989,0.331767,0.293429,0.393302,0.0
77,0.092572,1.122709,-36.173298,20.467146,-34.361616,0.591003,0.207212,0.346696,0.0
78,0.114602,1.81851,-35.972691,13.764091,-47.845016,0.278614,0.285913,0.350566,0.0
79,0.045569,1.544632,-134.877684,81.991628,-132.822663,0.599913,0.200045,0.40724,0.0
80,0.054039,1.498977,-69.850248,38.178996,-73.38968,0.482834,0.292513,0.351776,1.0
81,0.076902,1.567068,-92.267898,41.149054,-109.784237,0.350733,0.297911,0.355354,0.0
82,0.01601,1.144055,-103.101387,46.27704,-92.299476,0.477195,0.283941,0.420183,0.0
83,0.058118,1.726013,-76.788005,26.776637,-66.605637,0.368324,0.268033,0.422506,0.0
84,0.120831,1.371222,-73.01434,35.515059,-77.737594,0.433634,0.232973,0.323533,0.0
85,0.012733,1.075392,-132.409966,68.272058,-122.290994,0.530698,0.213138,0.474972,1.0
86,0.053797,1.700933,-55.425852,28.674935,-54.824495,0.506781,0.210943,0.373239,0.0
87,0.114362,1.3187,-128.588693,61.579272,-129.623365,0.454012,0.257145,0.361823,0.0
88,0.161671,1.665181,-47.422244,35.317858,-62.68672,0.548678,0.246527,0.401329,0.0
89,0.010938,1.969295,-88.75225,47.620202,-91.820109,0.505149,0.210274,0.374393,0.0
90,0.050252,1.187452,-69.913581,31.346653,-56.057673,0.551821,0.212942,0.472495,0.0
91,0.13837600000000003,1.460499,-133.177184,37.155503,-112.445719,0.304671,0.277285,0.426538,1.0
92,0.15657199999999996,1.635167,-99.687981,61.352429,-106.58967500000001,0.542621,0.232505,0.385625,0.0
93,0.06981800000000002,1.606688,-168.639974,60.972538,-152.040816,0.372783,0.343568,0.391689,1.0
94,0.07320799999999998,1.025865,-101.778781,31.967401,-121.992494,0.235759,0.283829,0.414839,1.0
95,0.123205,1.703276,-80.30198,40.215017,-90.66856000000001,0.420012,0.234456,0.417848,0.0
96,0.005237,2.022415,-66.004738,24.928062,-55.641958,0.425878,0.34442,0.318964,0.0
97,0.006537,1.140277,-92.868706,40.452731,-95.635371,0.409824,0.252316,0.420898,0.0
98,0.049906,1.544258,-28.425511,8.131966999999998,-23.728007,0.327066,0.221501,0.404489,0.0
99,0.033426,1.4140720000000002,-143.499967,49.940977,-157.481341,0.296138,0.231395,0.430131,1.0
100,0.018415,1.287992,-118.190912,65.16438,-113.688811,0.560627,0.232279,0.409664,0.0
101,0.160452,1.972364,-32.682114,18.854057,-39.708283,0.448275,0.227124,0.402044,0.0
102,0.085442,1.239633,-102.304232,41.511373,-114.162173,0.315472,0.387004,0.456152,0.0
103,0.107383,1.57647,-18.88076,4.328468,-18.590887,0.214407,0.319895,0.391876,0.0
104,0.019595,1.582688,-156.490569,84.847282,-151.501867,0.542185,0.21639,0.458228,1.0
105,0.023336,1.457125,-22.550189,9.093627,-18.179693,0.460502,0.332034,0.365495,1.0
106,0.160828,1.631332,-180.810817,42.466692,-145.563926,0.280013,0.422477,0.325583,1.0
107,0.12867300000000004,1.949386,-108.870936,44.1196,-141.175078,0.275899,0.303847,0.427512,0.0
108,0.041211,1.095758,-11.999176,7.359858,-12.83086,0.561264,0.202573,0.385942,0.0
109,0.015397,1.996105,-135.087353,51.651939,-148.603659,0.335756,0.206725,0.436035,0.0
110,0.127013,1.756911,-49.299643,18.299749,-51.083014,0.334108,0.424138,0.362411,1.0
111,0.027265,1.365961,-96.00747500000003,30.161426,-91.389256,0.259348,0.509023,0.309714,0.0
112,0.069334,1.189621,-114.013214,25.484272,-94.192737,0.255064,0.245826,0.2717,0.0
113,0.10777900000000001,1.637979,-16.068829,11.284434,-20.027802,0.527737,0.261394,0.494041,1.0
114,0.071973,1.374967,-131.25151,69.584076,-115.74810900000003,0.587103,0.205128,0.437995,0.0
115,0.150302,1.887995,-33.783078,23.762928,-41.845489,0.540018,0.204009,0.390949,0.0
116,0.123672,1.962916,-37.523506,10.535766,-31.331353,0.309831,0.369405,0.493342,0.0
117,0.024975,1.718691,-50.425178,25.536853,-54.991719,0.437448,0.280389,0.380474,1.0
118,0.005779,1.450917,-11.633777,2.873054,-10.518929000000002,0.244837,0.276415,0.3228,1.0
119,0.030704,1.875423,-31.371678,12.824847,-40.018343,0.313345,0.227551,0.504062,1.0
120,0.101444,1.144232,-32.501022,17.234021,-29.038563,0.581787,0.200352,0.446349,1.0
121,0.098026,1.780133,-63.176215,22.873738,-52.397518,0.416787,0.205948,0.337232,0.0
122,0.015952,1.306331,-96.773344,24.672413,-81.106278,0.283684,0.299645,0.446189,0.0
123,0.100309,1.232465,-155.429349,51.169818,-132.798368,0.354871,0.289252,0.36743,0.0
124,0.109931,1.281973,-71.319866,33.085939,-72.81587799999998,0.435335,0.355078,0.409885,0.0
125,0.145338,1.819567,-44.951993,12.456549,-46.460242,0.252727,0.382604,0.488413,0.0
126,0.104239,1.441976,-49.565173,27.609285,-50.648705,0.539356,0.256908,0.353409,0.0
127,0.019928,1.1123980000000002,-31.988884,20.494829,-41.933633,0.464487,0.298532,0.415189,0.0
128,0.097157,1.974321,-134.203015,34.47681,-118.742178,0.248326,0.343061,0.393258,1.0
129,0.078653,1.442223,-160.798511,59.03975,-131.656887,0.43377,0.215923,0.48304,0.0
130,0.14535,1.676161,-114.838963,85.43902099999998,-151.117852,0.541167,0.241782,0.390068,0.0
131,0.058437,1.415913,-60.758719,41.462064,-73.97056999999998,0.544218,0.248974,0.439918,1.0
132,0.11376,1.276901,-81.020142,35.161441,-86.142496,0.401625,0.218823,0.423022,1.0
133,0.020338,1.63457,-111.199013,39.913286,-89.302643,0.417909,0.367939,0.432884,0.0
134,0.083627,1.588725,-116.014878,52.275088,-123.523133,0.377605,0.321549,0.334637,1.0
135,0.069692,1.247657,-144.639591,36.607339,-130.906065,0.250188,0.215354,0.412559,0.0
136,0.031207,1.755912,-153.507226,32.494222,-123.254058,0.255404,0.241273,0.359873,0.0
137,0.103496,1.682783,-48.495176,25.801792,-45.523694,0.532226,0.239761,0.477953,1.0
138,0.101195,1.377785,-25.633958,11.347269,-29.959363,0.371539,0.322996,0.407451,1.0
139,0.08672399999999998,1.289577,-183.029808,49.034619,-146.475641,0.27653,0.399601,0.509225,1.0
140,0.104283,1.486987,-15.421209,7.900978,-16.960008,0.4513,0.344541,0.348813,0.0
141,0.091548,1.3507110000000002,-124.59786,66.898657,-112.958431,0.581372,0.214975,0.372582,0.0
142,0.161331,1.724774,-123.592454,43.37023,-144.831269,0.248109,0.460584,0.441253,0.0
143,0.039115,1.062915,-20.394768,7.858577999999999,-21.620612,0.35405,0.244768,0.406155,0.0
144,0.057472,1.580288,-150.439437,58.505028,-148.577079,0.384487,0.2098,0.385553,0.0
145,0.034645,1.221393,-82.724077,25.899034,-80.65652099999998,0.271441,0.437883,0.419371,0.0
146,0.183192,1.834012,-93.07873300000003,43.982863,-100.031835,0.396459,0.370392,0.389855,0.0
147,0.070241,1.638937,-45.852635,13.731484,-46.488435,0.269148,0.279469,0.345669,0.0
148,0.029087,1.161809,-110.077653,60.302448,-127.363249,0.441317,0.349718,0.493796,0.0
149,0.028244,1.856845,-34.034508,11.97115,-40.574321,0.266893,0.217925,0.414158,1.0
150,0.081946,1.142932,-14.838031,6.756935,-14.674767,0.455788,0.215698,0.377103,1.0
151,0.014823,1.043563,-156.880562,70.672107,-126.361316,0.550312,0.202037,0.435859,0.0
152,0.060473,1.097375,-61.451764,17.424677,-59.968787,0.218861,0.54015,0.286096,0.0
153,0.075564,1.429646,-91.742087,64.895585,-104.981654,0.597554,0.200709,0.346921,0.0
154,0.098488,1.608387,-54.381322,29.692321,-63.201368,0.42606,0.305478,0.347854,0.0
155,0.050691,1.183532,-172.782757,36.352736,-139.50786500000004,0.24445,0.223402,0.400348,1.0
156,0.030883,1.961688,-77.000743,37.579046,-102.124842,0.356161,0.265279,0.360187,0.0
157,0.037542,1.386409,-190.782147,91.473322,-159.409651,0.56121,0.232397,0.33896,0.0
158,0.133822,1.507163,-26.706415,10.552085000000002,-34.003258,0.269476,0.463218,0.399285,0.0
159,0.155936,1.586717,-83.929488,17.788329,-73.90678599999998,0.207477,0.268399,0.43546,0.0
160,0.030815,1.102797,-52.664286,20.869858,-58.635055,0.335016,0.403702,0.345898,1.0
161,0.005351,1.051241,-21.181616,10.913607,-18.42705,0.57465,0.206478,0.407686,0.0
162,0.005248,1.644499,-83.24228499999998,23.814399,-72.858942,0.27698,0.499982,0.370291,0.0
163,0.002877,1.916444,-134.57653400000004,47.735026,-124.200279,0.363044,0.226283,0.398652,0.0
164,0.08498,1.320732,-88.134635,35.44028,-96.303602,0.329936,0.393408,0.410319,0.0
165,0.042635,1.58747,-52.671936,11.317112,-43.367225,0.223828,0.319792,0.434309,0.0
166,0.003999,1.452643,-46.10163,32.99517,-53.169235,0.597725,0.200997,0.457584,1.0
167,0.106745,1.635955,-168.002359,62.25003,-152.62177,0.37351,0.259443,0.422179,0.0
168,0.152767,1.866421,-145.144272,55.966101,-134.816882,0.392561,0.322069,0.420683,1.0
169,0.015284,1.541244,-126.539189,42.041582,-107.762228,0.355714,0.241394,0.428818,1.0
170,0.050575,1.263477,-121.716042,69.296001,-139.521647,0.491487,0.216065,0.418718,0.0
171,0.02481,1.270006,-120.299295,61.884421,-126.312509,0.470765,0.307688,0.412427,0.0
172,0.066443,1.886462,-93.171442,32.713615,-92.530362,0.340576,0.320861,0.33144,0.0
173,0.122816,1.864564,-87.145575,20.953969,-71.083201,0.255285,0.369455,0.43145,0.0
174,0.165311,1.857921,-48.060323,25.975342,-50.03176,0.513425,0.278298,0.37961,1.0
175,0.015012,1.002736,-68.648859,22.486561,-56.983149,0.373453,0.345599,0.413949,0.0
176,0.098849,1.079733,-155.455722,76.41225699999998,-138.951349,0.516126,0.279431,0.367331,0.0
177,0.070281,1.37369,-85.64199,20.690216,-72.945608,0.22161,0.468425,0.363178,1.0
178,0.019501,1.050333,-161.481971,38.293659,-130.521452,0.214866,0.571492,0.387786,0.0
179,0.118987,1.333201,-33.520382,23.440287,-44.154648,0.509324,0.246099,0.459504,1.0
180,0.045009,1.659255,-142.20936,88.035506,-143.548593,0.591881,0.204303,0.419725,0.0
181,0.04134,1.033529,-130.029818,70.06316,-142.289415,0.483896,0.25531,0.45521,1.0
182,0.084099,1.892429,-101.701719,30.069279,-105.119959,0.259992,0.289676,0.485482,1.0
183,0.060975,1.767016,-104.03531400000001,54.800989,-116.653683,0.41662,0.365674,0.446204,0.0
184,0.118354,1.727,-165.671324,66.506999,-137.78967,0.455545,0.233191,0.424022,0.0
185,0.119592,1.247586,-56.653549,38.66692,-66.779562,0.5744,0.209431,0.372366,0.0
186,0.024697,1.930785,-81.36418399999998,47.105397,-95.502731,0.46787,0.297687,0.415132,1.0
187,0.134469,1.753672,-188.574136,46.94748,-155.269321,0.28386,0.242586,0.376409,0.0
188,0.043981,1.668804,-167.726211,79.015769,-134.609211,0.573187,0.218812,0.316332,0.0
189,0.152871,1.863853,-57.905574,30.564431,-63.458717,0.437455,0.353509,0.420836,0.0
190,0.025838,1.736364,-85.65214,42.080769,-84.562944,0.486327,0.30544,0.378391,0.0
191,0.092104,1.758309,-134.765187,59.446237,-118.491111,0.473134,0.243129,0.38808,0.0
192,0.065907,1.672704,-123.115824,41.984435,-132.979852,0.296512,0.393472,0.420489,0.0
193,0.074229,1.185364,-22.749223,15.223731,-26.020019,0.575277,0.215449,0.348364,0.0
194,0.096828,1.706705,-120.181561,50.655091,-100.892994,0.471491,0.243248,0.38806,0.0
195,0.066356,1.107369,-73.805735,21.038278,-86.907132,0.200822,0.44606,0.374046,0.0
196,0.063021,1.574763,-78.36712,59.852604,-98.55960700000003,0.575601,0.222399,0.421381,0.0
197,0.195712,1.965801,-142.187785,63.205562,-140.900331,0.401769,0.342917,0.317023,0.0
198,0.077501,1.054154,-77.312767,32.743272,-94.778877,0.320484,0.207166,0.433318,1.0
199,0.03619,1.710913,-52.295972,21.697125,-58.787701,0.328014,0.322418,0.49673,0.0
200,0.011471,1.274782,-48.866373,19.688801,-39.288833,0.46619,0.255927,0.282739,0.0
201,0.081874,1.525689,-37.345338,9.16476,-31.795583,0.263146,0.503398,0.377431,0.0
202,0.161609,1.759384,-149.563346,81.604839,-143.9566,0.539822,0.207081,0.387337,0.0
203,0.086189,1.575556,-59.229633,22.640191,-58.431812,0.380335,0.353669,0.424208,1.0
204,0.056276,1.178495,-27.076117,12.736041,-21.948999,0.569941,0.229471,0.42488,0.0
205,0.082343,1.963524,-95.065897,66.500554,-113.292212,0.560052,0.230545,0.352353,0.0
206,0.05324,2.007315,-100.564636,61.32514,-127.438171,0.431896,0.360296,0.433584,0.0
207,0.131028,1.795187,-106.81172,66.697473,-131.927814,0.500253,0.212014,0.356198,0.0
208,0.129971,1.545272,-107.050487,41.91724,-87.112987,0.464685,0.259836,0.330618,1.0
209,0.077259,1.679021,-47.853086,18.516961,-38.903139,0.448984,0.302164,0.353573,1.0
210,0.10902800000000001,1.941514,-166.350532,61.095134,-146.369213,0.401806,0.25487,0.37925,1.0
211,0.105651,1.580684,-71.654944,31.133015,-73.846705,0.410446,0.379085,0.384036,0.0
212,0.045939,1.50754,-162.850631,53.364462,-143.122316,0.355092,0.348928,0.338782,0.0
213,0.074131,1.882445,-59.233928,31.586726,-74.840974,0.386531,0.244114,0.49861,0.0
214,0.04482,1.832768,-68.922801,17.427126999999995,-58.730193,0.263092,0.423817,0.397307,1.0
215,0.037986,1.626199,-176.819463,55.860623,-142.143144,0.367955,0.372824,0.377514,0.0
216,0.006015,1.367243,-109.47747,50.099342,-89.390177,0.54211,0.234409,0.43876,0.0
217,0.011569,1.55484,-98.205811,25.590859,-106.838798,0.223404,0.534663,0.469927,1.0
218,0.058591,1.815761,-51.208014,26.320492,-51.962872,0.483461,0.307638,0.445002,0.0
219,0.104199,1.622826,-17.919657,5.071862,-15.340159,0.316797,0.326882,0.448964,0.0
220,0.052656,1.794806,-25.937642,17.455755,-34.480794,0.472804,0.310762,0.457136,1.0
221,0.166851,1.815168,-10.920574,3.293049,-13.849205,0.218439,0.551491,0.392064,1.0
222,0.096456,1.256058,-50.724861,25.747565,-62.561496,0.384693,0.248758,0.438702,0.0
223,0.030163,1.128273,-108.80727700000001,59.112546,-135.41279,0.392458,0.330822,0.389301,1.0
224,0.078213,1.087212,-98.629115,55.962931,-105.883528,0.502786,0.275015,0.441937,0.0
225,0.190017,1.957014,-81.29135499999998,20.345671,-76.609294,0.221558,0.428146,0.315569,0.0
226,0.037032,1.363891,-32.668424,9.67062,-26.614246,0.333988,0.317938,0.400714,0.0
227,0.039056,1.945348,-88.28891199999998,54.920596,-97.872342,0.524209,0.263509,0.317332,1.0
228,0.015753,1.956437,-60.511141,17.27202,-56.672594,0.258948,0.486107,0.391762,0.0
229,0.115696,1.649628,-121.676212,63.199412,-115.637988,0.517487,0.227122,0.504953,0.0
230,0.053968,1.442343,-60.825374,29.681978,-74.541511,0.363055,0.246462,0.422686,1.0
231,0.08686299999999998,1.739422,-68.61279500000002,23.475955,-63.177335,0.300024,0.486145,0.485317,0.0
232,0.056415,1.301582,-116.605525,28.723748,-100.893374,0.245327,0.27343,0.25448,0.0
233,0.180181,1.948773,-51.314039,24.406074,-41.059071,0.57944,0.204507,0.339762,0.0
234,0.023925,1.573574,-182.366016,95.828631,-159.71096399999996,0.567278,0.231443,0.529274,1.0
235,0.107978,1.326788,-107.876406,47.618081,-116.85325700000003,0.376426,0.310643,0.373708,0.0
236,0.119165,1.409656,-74.095628,28.975062,-96.297981,0.27705,0.405861,0.445451,0.0
237,0.146166,1.697693,-52.097806,18.380741,-44.698437,0.371126,0.33091,0.404097,1.0
238,0.109373,1.2239350000000002,-122.504568,74.299451,-146.209491,0.491714,0.299006,0.395183,1.0
239,0.076189,1.166571,-49.717564,22.138944,-52.647123,0.388265,0.377656,0.465824,1.0
240,0.113848,1.150769,-73.96446799999998,27.916681,-89.78135899999998,0.278512,0.289024,0.349815,0.0
241,0.056354,1.438668,-111.659715,51.002242,-105.580709,0.431648,0.346637,0.357836,0.0
242,0.116605,1.749053,-69.23864,49.314103,-91.609824,0.527453,0.231541,0.451885,1.0
243,0.144386,1.559842,-75.082265,40.472946,-71.623991,0.543785,0.203061,0.429444,1.0
244,0.096481,1.420188,-143.51491,71.103776,-115.113294,0.599685,0.200095,0.387498,1.0
245,0.07680399999999998,1.250727,-80.443589,39.621174,-86.045387,0.448192,0.341945,0.407391,0.0
246,0.073129,1.756102,-185.581319,83.779125,-156.069957,0.508308,0.21332,0.354587,1.0
247,0.123055,1.4808,-92.742667,37.742818,-103.457676,0.346116,0.293295,0.476116,0.0
248,0.105272,1.806858,-34.763443,18.346774,-30.602747,0.584834,0.213263,0.3689,1.0
249,0.027862,1.012761,-145.359129,33.880636,-134.81068400000004,0.207804,0.332922,0.356262,0.0
250,0.053105,2.004352,-55.736862,15.762067,-51.30136,0.2668,0.466691,0.424941,0.0
251,0.087868,1.069084,-116.42710400000003,37.68676,-102.27552,0.315149,0.366794,0.370684,1.0
252,0.010168000000000002,1.02531,-13.108846,6.887258,-12.870642,0.514485,0.241576,0.407416,1.0
253,0.00667,1.2773850000000002,-98.590246,35.148929,-91.318181,0.349899,0.256351,0.335535,1.0
254,0.015399,1.172125,-75.80535,31.277245,-87.370885,0.315145,0.451497,0.378173,0.0
255,0.027864,1.278733,-127.986913,60.83903,-103.473708,0.567254,0.202253,0.340983,1.0
256,0.142831,1.89057,-117.599173,61.519579,-154.084335,0.368128,0.244188,0.37031,0.0
257,0.116186,1.697122,-24.893834,11.267799,-26.093624,0.418781,0.228281,0.43141,1.0
258,0.090264,1.939981,-39.154488,8.385023999999998,-39.796908,0.203892,0.208318,0.435807,1.0
259,0.103587,1.646727,-29.944614,14.95238,-28.531952,0.50069,0.253372,0.403372,1.0
260,0.086965,1.415952,-98.717644,31.776235,-85.06082999999998,0.346775,0.260856,0.415005,0.0
261,0.041808,1.954448,-151.314034,54.894651,-134.993313,0.3629,0.335466,0.364175,1.0
262,0.060098,1.307632,-126.099857,57.26822,-155.886598,0.347046,0.226864,0.378299,1.0
263,0.038836,1.114909,-16.967227,3.565926,-14.015889,0.205971,0.373529,0.421918,0.0
264,0.000809,1.8374,-81.022847,31.399473,-80.632472,0.360196,0.289301,0.362158,0.0
265,0.077431,1.016019,-153.737628,35.725677,-130.16385600000004,0.228135,0.520788,0.422673,0.0
266,0.022812,1.930977,-69.099176,33.404292,-64.553037,0.493642,0.250955,0.289892,1.0
267,0.155799,1.814098,-41.658529,13.195131000000003,-45.013609,0.237148,0.546293,0.479691,1.0
268,0.051666,1.481245,-52.977677,34.305291,-56.446717,0.595868,0.204067,0.558157,0.0
269,0.022385,1.675081,-124.492549,52.169221,-135.076523,0.356952,0.227481,0.372779,1.0
270,0.074073,1.262827,-109.647355,65.690076,-132.743959,0.470321,0.205801,0.380527,1.0
271,0.057764,1.537747,-97.273776,52.176263,-104.727902,0.476909,0.251976,0.426102,0.0
272,0.092448,1.258444,-49.895679,22.019022,-46.568125,0.449264,0.240183,0.394608,1.0
273,0.037601,1.320438,-74.606312,29.892778,-66.494164,0.414265,0.336238,0.338222,0.0
274,0.00361,1.208824,-30.324097,12.379587,-28.597419,0.396046,0.345419,0.340693,0.0
275,0.152768,1.97248,-135.292446,94.680538,-153.6433,0.584058,0.215669,0.302649,0.0
276,0.013472,1.202517,-177.993118,50.01257,-146.973878,0.306226,0.296944,0.439977,0.0
277,0.08314,1.415061,-156.044759,32.91002,-153.091732,0.200906,0.348921,0.402785,0.0
278,0.024791,1.248331,-25.416812,13.903711,-25.634001,0.509425,0.219817,0.480797,0.0
279,0.083294,1.804588,-12.123488,4.291713,-10.377185,0.401424,0.328289,0.447758,0.0
280,0.079255,1.1312080000000002,-95.059323,23.991958,-82.82338199999998,0.263054,0.283576,0.48351,0.0
281,0.004865,1.670871,-32.35225,20.439764,-42.35326,0.436122,0.341224,0.350419,1.0
282,0.084515,1.913676,-54.158069,19.277705,-48.189611,0.375245,0.381008,0.422562,0.0
283,0.012401,2.001967,-51.350093,23.9805,-50.942391,0.45684,0.228448,0.425078,0.0
284,0.006637,1.208734,-69.367471,23.682488,-74.115908,0.310924,0.275094,0.486093,0.0
